"劳动经济学是研究劳动力市场中劳动力供给和劳动力需求各自影响因素以及相互作用关系的经济学分支。劳动经济学的研究领域包括劳动力供给、劳动力需求、就业、工资、人力资本投资、失业、收入分配等。中国劳动经济学兴起相对较晚，研究水平与国际同行存在着较大差距，国内专门从事这个学科研究的单位很少，不能适应于经济建设的需求。随着社会经济转型，中国正面临着日益严峻的就业形势。就业、失业、劳动力市场发育等问题成为经济生活中越来越重要的课题。","经济学类","经济学","11","劳动经济学",\N,\N,\N,\N,"020107T",\N
"经济学专业是（包括经济学方向和投资经济方向）为适应我国市场经济发展需要而设立的一个理论兼应用型本科专业。该专业培养具备比较扎实的经济学理论基础，熟悉现代经济学理论，比较熟练地掌握现代经济分析方法，知识面较宽，具有向经济学相关领域扩展渗透的能力，能在综合经济管理部门、政策研究部门，金融机构和企业从事经济分析、预测、规划和经济管理工作的高级专门人才。","经济学类","经济学","12","经济",\N,\N,\N,\N,"020208T",\N
"财政学专业属于应用经济学科，它主要研究政府部门在资金筹集和使用方面的理论、制度和管理方法，同时也研究企业在生产经营过程中的税收问题。该专业培养具备财政、税务等方面的理论知识和业务技能，能在财政、税务及其他经济管理部门和企业从事相关工作的高级专门人才。","财政学类","经济学","13","财政学",\N,\N,\N,\N,"020201K",\N
"税收学专业培养具备税务及管理、法律等方面的知识，具有创新精神、实践能力和自我发展能力，具有良好的职业道德，能够胜任税务机关、企事业单位、税务中介机构等部门的实际工作及大中专学校和研究单位的教学与研究工作的应用型专门人才。","财政学类","经济学","14","税收学",\N,\N,\N,\N,"20302",\N
"金融学（Finance）是从经济学中分化出来的应用经济学科，是以融通货币和货币资金的经济活动为研究对象，具体研究个人、机构、政府如何获取、支出以及管理资金以及其他金融资产的学科。金融学专业培养具备金融学方面的理论知识和业务技能，能在银行、证券、投资、保险及其他经济管理部门和企业从事相关工作的专门人才。该专业学生主要学习货币银行学、投资学、国际金融、证券、投资、保险等方面的基本理论和基本知识，受到相关业务的基本训练，具有金融领域实际工作的基本能力。","金融学类","经济学","15","金融学",\N,\N,\N,\N,"020301K",\N
"本专业学生主要学习经济学、金融学、金融工程和金融管理方面的基本理论和基础知识，接受理财、投融资、以及风险管理方法与技能的基本训练，具有设计、开发综合运用各种金融工具创造性解决金融实务问题的基本能力，开展金融风险管理、公司理财、投资战略策划以及金融产品定价研究，能在跨国公司和金融机构从事金融财务管理、金融分析和策划的高素质复合型现代金融人才。金融工程专业坚持“面向现代化、面向世界、面向未来”的人才培养理念，合理设置课程体系，培养具有良好政治素质、合理知识结构，系统掌握金融学基本理论及金融工程的基本原理与技术，具备经济、管理、法律以及金融财务方面的知识，能够开发、设计新型金融工具和金融手段，创造性和个性化地提出解决金融问题的方案，开展金融风险管理、公司理财、投资战略策划以及金融产品定价研究，能在跨国公司和金融机构从事金融财务管理、金融分析和策划的高素质复合型现代金融人才。","金融学类","经济学","16","金融工程",\N,\N,\N,\N,"20302",\N
"保险学专业培养适应保险业现代化、国际化发展要求，具有保险学、保险业务与管理、金融投资等方面的理论知识与业务技能，能够从事商业性保险业务的营销、经营管理、社会保险基金运作与管理、保险监管等实际工作以及科学研究工作的高级保险人才。通过理论教学，学生能够系统掌握保险学科的基本知识、基础理论和保险业务技能，获得经济、管理、财务、金融等方面的理论知识；通过实践教学，培养学生保险综合业务能力以及证券、投资基本技能。","金融学类","经济学","17","保险学",\N,\N,\N,\N,"20303",\N
"投资学研究如何把个人、机构的有限资源分配到诸如股票、国债、不动产等（金融）资产上，以获得合理的现金流量和风险/收益率。其核心就是以效用最大化准则为指导，获得个人财富配置的最优均衡解。投资学研究如何把个人、机构的有限资源分配到诸如股票、国债、不动产等（金融）资产上，以获得合理的现金流量和风险/收益率。其核心就是以效用最大化准则为指导，获得个人财富配置的最优均衡解。","金融学类","经济学","18","投资学",\N,\N,\N,\N,"20304",\N
"金融数学又称数理金融学、数学金融学、分析金融学，是利用数学工具研究金融，进行数学建模、理论分析、数值计算等定量分析，以求找到金融学内在规律并用以指导实践。金融数学也可以理解为现代数学与计算技术在金融领域的应用，因此，金融数学是一门新兴的交叉学科，发展很快，是十分活跃的前沿学科之一。金融数学专业培养掌握数学科学的基本理论与基本方法、基本技能，掌握金融理论基础并接受严格数理金融思维训练，具备运用数学金融知识、使用计算机技术解决实际问题的能力，受到严格科学思维训练，能凭借坚实的数学基础和金融基础，在金融证券、投资、保险等部门从事经济分析、经济建模、金融产品设计工作的专门人才。","金融学类","经济学","19","金融数学",\N,\N,\N,\N,"020305T",\N
"信用管理专业旨在培养掌握德智体全面发展，掌握信用管理专业知识、理论功底扎实、创新能力、管理能力较强，并熟悉相关的国际惯例和法则，掌握信用风险管理技术，能在国际经济活动中进行沟通和交流的高层次金融管理人才。学生应熟悉信用管理国际惯例及相关的法律、规则；具备信用管理专业知识。具有风险管理，资信调查、信用评级、公司信用管理、消费者信用管理、国际业务信用管理、基金管理、投资组合设计与管理等专业知识；并且了解本专业的发展动态，具有较强创新能力，熟练掌握一门以上外语的能力。","金融学类","经济学","20","信用管理",\N,\N,\N,\N,"020306T",\N
